Run,Number of labeled points,Model,Metric,Value,Set,Approach,Dash
6,1,Discriminative,Accuracy,0.857,test,Active WeaSuL,
6,2,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
6,2,Discriminative,Accuracy,0.859,test,Active WeaSuL,
6,3,Generative,Accuracy,0.8133333333333334,test,Active WeaSuL,
6,3,Discriminative,Accuracy,0.8633333333333333,test,Active WeaSuL,
6,4,Generative,Accuracy,0.9556666666666667,test,Active WeaSuL,
6,4,Discriminative,Accuracy,0.9603333333333334,test,Active WeaSuL,
6,5,Generative,Accuracy,0.961,test,Active WeaSuL,
6,5,Discriminative,Accuracy,0.9716666666666667,test,Active WeaSuL,
6,6,Generative,Accuracy,0.961,test,Active WeaSuL,
6,6,Discriminative,Accuracy,0.972,test,Active WeaSuL,
6,7,Generative,Accuracy,0.961,test,Active WeaSuL,
6,7,Discriminative,Accuracy,0.9726666666666667,test,Active WeaSuL,
6,8,Generative,Accuracy,0.961,test,Active WeaSuL,
6,8,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
6,9,Generative,Accuracy,0.961,test,Active WeaSuL,
6,9,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
6,10,Generative,Accuracy,0.961,test,Active WeaSuL,
6,10,Discriminative,Accuracy,0.9743333333333334,test,Active WeaSuL,
6,11,Generative,Accuracy,0.961,test,Active WeaSuL,
6,11,Discriminative,Accuracy,0.975,test,Active WeaSuL,
6,12,Generative,Accuracy,0.961,test,Active WeaSuL,
6,12,Discriminative,Accuracy,0.9746666666666667,test,Active WeaSuL,
6,13,Generative,Accuracy,0.961,test,Active WeaSuL,
6,13,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
6,14,Generative,Accuracy,0.961,test,Active WeaSuL,
6,14,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
6,15,Generative,Accuracy,0.961,test,Active WeaSuL,
6,15,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
6,16,Generative,Accuracy,0.961,test,Active WeaSuL,
6,16,Discriminative,Accuracy,0.9753333333333334,test,Active WeaSuL,
6,17,Generative,Accuracy,0.961,test,Active WeaSuL,
6,17,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
6,18,Generative,Accuracy,0.961,test,Active WeaSuL,
6,18,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
6,19,Generative,Accuracy,0.961,test,Active WeaSuL,
6,19,Discriminative,Accuracy,0.9756666666666667,test,Active WeaSuL,
6,20,Generative,Accuracy,0.961,test,Active WeaSuL,
